php_version,runtime_profile,execution_environment,opcache_enable,opcache_enable_cli,opcache_jit,opcache_jit_buffer_size,opcache_memory_consumption,opcache_validate_timestamps,error_reporting,scenario,detail,router,size,iterations,revolutions,median_ns,mean_ns,min_ns,max_ns,stddev_ns,rsd_percent,ops_per_second,requests_per_second,requests_per_minute,relative,source
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,AltoRouter,10,9,1,1039000,1042111.1111111,1014000,1083000,23057.630428725,2.2125884834047,959.59057468814,959.59057468814,57575.434481289,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Bramus Router",10,9,1,1284000,1276444.4444444,1224000,1340000,39282.767245564,3.0775148434025,783.42618384404,783.42618384404,47005.571030642,1.2248640580019,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,FastRoute,10,9,1,1741000,1745666.6666667,1678000,1803000,41454.124576988,2.3746872967532,572.84704983768,572.84704983768,34370.822990261,1.6751252798806,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Ariel Radix Router",10,9,1,3031000,3012444.4444444,2943000,3075000,46735.927438965,1.5514286919102,331.95632930068,331.95632930068,19917.379758041,2.8907132956605,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Simple PHP Router",10,9,1,4102000,4143555.5555556,4005000,4301000,104657.23005349,2.5257831987595,241.33862490614,241.33862490614,14480.317494369,3.9761168568078,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Symfony Routing",10,9,1,5311000,5277444.4444444,5070000,5388000,89682.292456465,1.6993507634339,189.48565172537,189.48565172537,11369.139103522,5.0641859473292,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Illuminate Routing",10,9,1,26513000,26330000,25614000,26910000,382218.37853365,1.4516459496151,37.97949107482,37.97949107482,2278.7694644892,25.266019831539,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,AltoRouter,100,9,1,1194000,1189222.2222222,1162000,1218000,19870.568843716,1.670887784672,840.88573297208,840.88573297208,50453.143978325,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Bramus Router",100,9,1,1376000,1385222.2222222,1364000,1421000,18907.833636869,1.36496753615,721.90583139489,721.90583139489,43314.349883694,1.1648136036625,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,FastRoute,100,9,1,1860000,1855666.6666667,1791000,1924000,39693.268390945,2.1390300911233,538.88988683311,538.88988683311,32333.393209987,1.5604036251519,20260722-101702-full-opcache.xml
